?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/FBdv_00007133>	<http://www.w3.org/2000/01/rdf-schema#label>	"day 58 of adulthood"	
<http://purl.obolibrary.org/obo/FBdv_00005313>	<http://www.w3.org/2000/01/rdf-schema#label>	"embryonic cycle 14A"	
<http://purl.obolibrary.org/obo/FBdv_00005287>	<http://www.w3.org/2000/01/rdf-schema#label>	"unfertilized egg stage"	
<http://purl.obolibrary.org/obo/FBdv_00005350>	<http://www.w3.org/2000/01/rdf-schema#label>	"pupal stage P5"	
<http://purl.obolibrary.org/obo/FBdv_00005320>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete germ band stage"	
<http://purl.obolibrary.org/obo/FBdv_00007080>	<http://www.w3.org/2000/01/rdf-schema#label>	"day 5 of adulthood"	
<http://purl.obolibrary.org/obo/FBdv_00004450>	<http://www.w3.org/2000/01/rdf-schema#label>	"late extended germ band stage"	
<http://purl.obolibrary.org/obo/FBdv_00005326>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete contracted germ band stage"	
<http://purl.obolibrary.org/obo/FBdv_00005322>	<http://www.w3.org/2000/01/rdf-schema#label>	"embryonic stage 8"	
<http://purl.obolibrary.org/obo/FBdv_00007126>	<http://www.w3.org/2000/01/rdf-schema#label>	"day 51 of adulthood"	
<http://purl.obolibrary.org/obo/FBdv_00005336>	<http://www.w3.org/2000/01/rdf-schema#label>	"larval stage"	
<http://purl.obolibrary.org/obo/FBdv_00007009>	<http://www.w3.org/2000/01/rdf-schema#label>	"developmental process"	
<http://purl.obolibrary.org/obo/FBdv_0010003>	<http://www.w3.org/2000/01/rdf-schema#label>	"day 63 of adulthood"	
<http://purl.obolibrary.org/obo/FBdv_00007019>	<http://www.w3.org/2000/01/rdf-schema#label>	"third instar - uncleared gut stage"	
<http://purl.obolibrary.org/obo/FBdv_00007078>	<http://www.w3.org/2000/01/rdf-schema#label>	"day 3 of adulthood"	
<http://purl.obolibrary.org/obo/FBdv_00005343>	<http://www.w3.org/2000/01/rdf-schema#label>	"prepupal stage P1"	
<http://purl.obolibrary.org/obo/FBdv_00005278>	<http://www.w3.org/2000/01/rdf-schema#label>	"oogenesis stage S13"	
<http://purl.obolibrary.org/obo/FBdv_00007000>	<http://www.w3.org/2000/01/rdf-schema#label>	"spermatogenesis"	
<http://purl.obolibrary.org/obo/FBdv_00005263>	<http://www.w3.org/2000/01/rdf-schema#label>	"oogenesis stage S3"	
<http://purl.obolibrary.org/obo/FBdv_00007120>	<http://www.w3.org/2000/01/rdf-schema#label>	"day 45 of adulthood"	
